"country","year","democ","autoc","polity","polity2","durable","exrec","exconst","polcomp","countrycode","rgdpe","rgdpna","pop","cpt.succ.n","cpt.fail.n","scoup1","atcoup2","pcoup3","apcoup4","agcoup","foroutex","reboutex","assassex","resignex","gdppc","trade","fcf","govfce","inflation","population","sec.enrr","oda","energy.gni","inttot","civtot","uds.mean"
"Botswana",1970,6,0,6,6,4,7,5,9,"BWA",499.466949462891,706.036499023438,0.692959,0,0,0,0,0,0,0,0,0,0,0,NA,85.5692530819434,34.5177664974619,18.7817258883249,NA,693021,6.26983,14.1054832324386,0,0,0,0.0346104278828538
"Botswana",1971,6,0,6,6,5,7,5,9,"BWA",624.642517089844,888.342956542969,0.715745,0,0,0,0,0,0,0,0,0,0,0,NA,94.7136563876652,45.9801762114537,16.3546255506608,NA,715811,7.25035,13.5338825223348,0,0,0,0.0326741921449877
"Botswana",1972,6,0,6,6,6,7,5,9,"BWA",778.272033691406,1122.52746582031,0.739683,0,0,0,0,0,0,0,0,0,0,0,NA,97.9150275373721,46.2234461054288,13.3359559402046,NA,739754,8.18451,19.0080953613074,0,0,0,0.0680227068751307
"Botswana",1973,6,0,6,6,7,7,5,9,"BWA",951.374938964844,1361.66149902344,0.765101,0,0,0,0,0,0,0,0,0,0,0,NA,100.796695190322,42.4609029212157,14.5175568014163,NA,765177,11.47085,14.7581397279169,0,0,0,0.157992900653197
"Botswana",1974,6,0,6,6,8,7,5,9,"BWA",1042.810546875,1481.45764160156,0.792432,0,0,0,0,0,0,0,0,0,0,0,NA,105.698485212792,32.9165664823275,17.2156768453955,NA,792513,12.86199,11.7799631432277,0.00600170596680318,0,0,0.154141951727947
"Botswana",1975,6,0,6,6,9,7,5,9,"BWA",1131.51916503906,1606.58532714844,0.821942,0,0,0,0,0,0,0,0,0,0,0,NA,107.386255473063,26.6133637921188,18.9796306872263,11.9747550240953,822029,14.58678,14.342479435751,0.077581408906215,0,0,0.152365654987389
"Botswana",1976,6,0,6,6,10,7,5,9,"BWA",1266.75207519531,1777.64453125,0.853774,0,0,0,0,0,0,0,0,0,0,0,NA,116.707882534776,24.9304482225657,21.3910355486862,11.732423613642,853860,16.15112,12.7357000618238,0.236206905691508,0,0,0.159152270604561
"Botswana",1977,6,0,6,6,11,7,5,9,"BWA",1383.66333007812,1966.01928710938,0.887716,0,0,0,0,0,0,0,0,0,0,0,NA,120.210387902696,25.5095332018409,23.1558185404339,13.1687242801079,887793,17.25381,10.4622207514793,0.257516155192163,0,0,0.160287015460023
"Botswana",1978,6,0,6,6,12,7,5,9,"BWA",1461.68713378906,2195.31201171875,0.923234,0,0,0,0,0,0,0,0,0,0,0,NA,120.584926884139,28.8066264444217,21.1269045914715,9.04398827010364,923305,17.76706,11.6478897412823,0.153849943162427,0,0,0.157850853068987
"Botswana",1979,6,0,6,6,13,7,5,9,"BWA",1682.81689453125,2508.83471679688,0.959584,0,0,0,0,0,0,0,0,0,0,0,NA,119.372942232864,31.4726129901227,19.4103561807842,11.7362306367885,959666,17.75149,12.1250842658934,0.113169307149574,0,0,0.212981617727215
"Botswana",1980,6,0,6,6,14,7,5,9,"BWA",2019.55920410156,2815.28393554688,0.996211,0,0,0,0,0,0,0,0,0,0,0,NA,119.501546297981,34.5157964950579,21.3389121338912,13.6324251470895,996331,18.4718,10.3810792044662,0.183667197419793,0,0,0.211191599595012
"Botswana",1981,6,0,6,6,15,7,5,9,"BWA",2226.72583007812,3146.0009765625,1.032889,0,0,0,0,0,0,0,0,0,0,0,NA,121.235392320534,35.7762938230384,24.8080133555927,16.4280267725712,1033073,20.2653,8.68051905528551,0.346262739337572,0,0,0.157549935118501
"Botswana",1982,6,0,6,6,16,7,5,9,"BWA",2239.13134765625,3411.64086914062,1.069707,0,0,0,0,0,0,0,0,0,0,0,NA,123.836180087077,32.1707095354289,26.0513851011913,11.1372064274689,1069962,NA,9.69058729318383,0.430868783840215,0,0,0.0853588387512599
"Botswana",1983,6,0,6,6,17,7,5,9,"BWA",2443.18627929688,3817.66430664062,1.106802,0,0,0,0,0,0,0,0,0,0,0,NA,124.649064820936,27.2310145040246,25.8467161799588,10.4771438105237,1107103,20.7232,9.10492144642009,0.168607415944865,0,0,0.0742369534288501
"Botswana",1984,6,0,6,6,18,7,5,9,"BWA",2863.38159179688,4337.08251953125,1.144442,0,0,0,0,0,0,0,0,0,0,0,NA,118.773470717855,26.3306539213556,25.01163837249,8.57746904251908,1144716,24.77929,9.04632376546704,0.102722723293909,0,0,0.155766366118583
